location,cause,year,val
Norway,Mesothelioma,1995,83.93304233
Bos&Herz,Respiratory infections and tuberculosis,1996,839.6214417
Ireland,Mesothelioma,1992,33.8977294
Ireland,Leukemia,1992,242.3866741
Ireland,Cardiovascular diseases,1992,13648.78264
Italy,Chronic respiratory diseases,1992,24283.91779
Hungary,Chronic respiratory diseases,1994,5233.041614
France,Chronic respiratory diseases,1998,22302.37305
Andorra,Leukemia,1991,4.177218153
Poland,Respiratory infections and tuberculosis,1992,8638.142895
Austria,Chronic respiratory diseases,1990,2524.085222
Bulgaria,Respiratory infections and tuberculosis,1999,3412.146072
San Marino,Chronic respiratory diseases,1998,5.951456011
Belarus,Mesothelioma,1996,46.99670291
Belarus,Leukemia,1996,827.5834605
Ukraine,Chronic respiratory diseases,1990,33452.17076
Denmark,Respiratory infections and tuberculosis,1994,2115.308025
Sweden,Mesothelioma,1999,131.496518
Sweden,Leukemia,1999,768.7309214
Sweden,Cardiovascular diseases,1999,43600.93756
Romania,Chronic respiratory diseases,1993,12121.80204
Latvia,Respiratory infections and tuberculosis,1991,547.4723972
Bulgaria,Leukemia,1990,487.0187907
Bulgaria,Cardiovascular diseases,1990,69641.58845
Monaco,Respiratory infections and tuberculosis,1990,16.63920993
Monaco,Mesothelioma,1991,0.691550336
Monaco,Leukemia,1991,5.851371837
Monaco,Cardiovascular diseases,1991,202.1048231
France,Mesothelioma,1993,870.2454342
France,Leukemia,1993,5238.702787
France,Cardiovascular diseases,1993,167072.2957
Estonia,Respiratory infections and tuberculosis,1995,473.849555
Lithuania,Respiratory infections and tuberculosis,1990,638.5772893
Cyprus,Respiratory infections and tuberculosis,1995,166.2641284
Malta,Leukemia,1991,21.77342056
Malta,Cardiovascular diseases,1991,1313.301
Finland,Mesothelioma,1996,66.02077772
Finland,Leukemia,1996,338.1173587
Finland,Cardiovascular diseases,1996,23117.20332
Ireland,Chronic respiratory diseases,1992,2340.835761
Republic of Moldova,Mesothelioma,1999,4.950553024
Republic of Moldova,Leukemia,1999,171.1318581
Romania,Respiratory infections and tuberculosis,1992,10370.82595
Lithuania,Mesothelioma,1991,12.80399069
Romania,Chronic respiratory diseases,1997,10981.18903
Andorra,Mesothelioma,1990,0.898194551
Andorra,Leukemia,1990,3.910725438
Ireland,Chronic respiratory diseases,1997,2439.078433
Cyprus,Mesothelioma,1992,9.001590428
